,rank,name,imdb_id
0,1,Cate Blanchett,nm0000949
1,2,Natalie Portman,nm0000204
2,3,Uma Thurman,nm0000235
3,4,Helena Bonham Carter,nm0000307
4,5,Frances McDormand,nm0000531
5,6,Meryl Streep,nm0000658
6,7,Sigourney Weaver,nm0000244
7,8,Charlize Theron,nm0000234
8,9,Julianne Moore,nm0000194
9,10,Robin Wright,nm0000705
10,11,Jodie Foster,nm0000149
11,12,Rachel McAdams,nm1046097
12,13,Emma Stone,nm1297015
13,14,Ellen Burstyn,nm0000995
14,15,Saoirse Ronan,nm1519680
15,16,Marlene Dietrich,nm0000017
16,17,Nicole Kidman,nm0000173
17,18,Sally Hawkins,nm1020089
18,19,Jennifer Lawrence,nm2225369
19,20,Marilyn Monroe,nm0000054
20,21,Julie Delpy,nm0000365
21,22,Keira Knightley,nm0461136
22,23,Adèle Exarchopoulos,nm2650819
23,24,Anne Hathaway,nm0004266
24,25,Kim Novak,nm0001571
25,26,Ingrid Bergman,nm0000006
26,27,Amy Adams,nm0010736
27,28,Margot Robbie,nm3053338
28,29,Mélanie Laurent,nm0491259
29,30,Emma Watson,nm0914612
30,31,Jennifer Connelly,nm0000124
31,32,Kate Winslet,nm0000701
32,33,Marion Cotillard,nm0182839
33,34,Shelley Duvall,nm0001167
34,35,Diane Kruger,nm1208167
35,36,Mia Farrow,nm0001201
36,37,Bette Davis,nm0000012
37,38,Jennifer Jason Leigh,nm0000492
38,39,Hilary Swank,nm0005476
39,40,Alicia Vikander,nm2539953
40,41,Jessica Chastain,nm1567113
41,42,Julia Roberts,nm0000210
42,43,Bibi Andersson,nm0000761
43,44,Vivien Leigh,nm0000046
44,45,Eva Green,nm1200692
45,46,Audrey Tautou,nm0851582
46,47,Léa Seydoux,nm2244205
47,48,Tilda Swinton,nm0842770
48,49,Milla Jovovich,nm0000170
49,50,Faye Dunaway,nm0001159
50,51,Scarlett Johansson,nm0424060
51,52,Angelina Jolie,nm0001401
52,53,Brie Larson,nm0488953
53,54,Rosamund Pike,nm0683253
54,55,Anna Kendrick,nm0447695
55,56,Carey Mulligan,nm1659547
56,57,Janet Leigh,nm0001463
57,58,Liv Ullmann,nm0880521
58,59,Diane Keaton,nm0000473
