,itemLabel,item,image,occupationLabel,genderLabel,bdayLabel,citizenshipLabel,dodLabel
0,Marlene Dietrich,http://www.wikidata.org/entity/Q4612,http://commons.wikimedia.org/wiki/Special:FilePath/Marlene%20Dietrich%20in%20No%20Highway%20%281951%29%20%28Cropped%29.png,actor,female,1901-12-27T00:00:00Z,United States of America,1992-05-06T00:00:00Z
0,Marilyn Monroe,http://www.wikidata.org/entity/Q4616,http://commons.wikimedia.org/wiki/Special:FilePath/Monroecirca1953.jpg,actor,female,1926-06-01T00:00:00Z,United States of America,1962-08-04T00:00:00Z
0,Ingrid Bergman,http://www.wikidata.org/entity/Q43247,http://commons.wikimedia.org/wiki/Special:FilePath/Ingrid%20Bergman%20-%20Gaslight%2044.jpg,actor,female,1915-08-29T00:00:00Z,Sweden,1982-08-29T00:00:00Z
0,Bette Davis,http://www.wikidata.org/entity/Q71206,http://commons.wikimedia.org/wiki/Special:FilePath/BETTEDavis%20%28cropped%29.jpg,actor,female,1908-04-05T00:00:00Z,United States of America,1989-10-06T00:00:00Z
0,Bibi Andersson,http://www.wikidata.org/entity/Q234921,http://commons.wikimedia.org/wiki/Special:FilePath/Bibi%20Andersson%20%281961%29.jpg,stage actor,female,1935-11-11T00:00:00Z,Sweden,2019-04-14T00:00:00Z
0,Vivien Leigh,http://www.wikidata.org/entity/Q129429,http://commons.wikimedia.org/wiki/Special:FilePath/Vivien%20Leigh%20Scarlet.jpg,actor,female,1913-11-05T00:00:00Z,United Kingdom,1967-07-08T00:00:00Z
0,Janet Leigh,http://www.wikidata.org/entity/Q205314,http://commons.wikimedia.org/wiki/Special:FilePath/Janet%20Leigh%201954%20portrait.png,actor,female,1927-07-06T00:00:00Z,United States of America,2004-10-03T00:00:00Z
0,Virginia Cherrill,http://www.wikidata.org/entity/Q13435675,http://commons.wikimedia.org/wiki/Special:FilePath/Virginia%20Cherrill%20by%20Lansing%20Brown.jpg,actor,female,1908-04-12T00:00:00Z,United States of America,1996-11-14T00:00:00Z
0,Grace Kelly,http://www.wikidata.org/entity/Q3925,http://commons.wikimedia.org/wiki/Special:FilePath/Grace%20Kelly30419.jpg,actor,female,1929-11-12T00:00:00Z,United States of America,1982-09-14T00:00:00Z
0,Gloria Swanson,http://www.wikidata.org/entity/Q229232,http://commons.wikimedia.org/wiki/Special:FilePath/Gloria%20Swanson-James%20Abbe%201921.jpg,actor,female,1899-03-27T00:00:00Z,United States of America,1983-04-04T00:00:00Z
0,Carrie Fisher,http://www.wikidata.org/entity/Q108941,http://commons.wikimedia.org/wiki/Special:FilePath/Carrie%20Fisher%202013%20cropped%20pose.jpg,spokesperson,female,1956-10-21T00:00:00Z,United States of America,2016-12-27T00:00:00Z
0,Marlon Brando,http://www.wikidata.org/entity/Q34012,http://commons.wikimedia.org/wiki/Special:FilePath/Marlon%20Brando%20publicity%20for%20One-Eyed%20Jacks.png,stage actor,male,1924-04-03T00:00:00Z,United States of America,2004-07-01T00:00:00Z
0,Paul Newman,http://www.wikidata.org/entity/Q41871,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Newman%20Once%20Upon%20a%20Wheel%201971.JPG,screenwriter,male,1925-01-26T00:00:00Z,United States of America,2008-09-26T00:00:00Z
0,Spencer Tracy,http://www.wikidata.org/entity/Q71275,http://commons.wikimedia.org/wiki/Special:FilePath/Spencer%20tracy%20state%20of%20the%20union.jpg,actor,male,1900-04-05T00:00:00Z,United States of America,1967-06-10T00:00:00Z
0,Laurence Olivier,http://www.wikidata.org/entity/Q55245,http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Olivier%20-%201939.jpg,screenwriter,male,1907-05-22T00:00:00Z,United Kingdom,1989-07-11T00:00:00Z
0,Jack Lemmon,http://www.wikidata.org/entity/Q94123,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Lemmon%20-%201968.jpg,actor,male,1925-02-08T00:00:00Z,United States of America,2001-06-27T00:00:00Z
0,James Stewart,http://www.wikidata.org/entity/Q102462,http://commons.wikimedia.org/wiki/Special:FilePath/Annex%20-%20Stewart%2C%20James%20%28Call%20Northside%20777%29%2001.jpg,screenwriter,male,1908-05-20T00:00:00Z,United States of America,1997-07-02T00:00:00Z
