,itemLabel,item,image,occupationLabel,genderLabel,bdayLabel,citizenshipLabel
0,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,actor,female,1969-05-14T00:00:00Z,United States of America
1,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,actor,female,1969-05-14T00:00:00Z,Australia
2,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,television producer,female,1969-05-14T00:00:00Z,United States of America
3,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,television producer,female,1969-05-14T00:00:00Z,Australia
4,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,stage actor,female,1969-05-14T00:00:00Z,United States of America
5,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,stage actor,female,1969-05-14T00:00:00Z,Australia
6,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,voice actor,female,1969-05-14T00:00:00Z,United States of America
7,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,voice actor,female,1969-05-14T00:00:00Z,Australia
8,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film director,female,1969-05-14T00:00:00Z,United States of America
9,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film director,female,1969-05-14T00:00:00Z,Australia
10,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film producer,female,1969-05-14T00:00:00Z,United States of America
11,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film producer,female,1969-05-14T00:00:00Z,Australia
12,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film actor,female,1969-05-14T00:00:00Z,United States of America
13,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,film actor,female,1969-05-14T00:00:00Z,Australia
14,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,international forum participant,female,1969-05-14T00:00:00Z,United States of America
15,Cate Blanchett,http://www.wikidata.org/entity/Q80966,http://commons.wikimedia.org/wiki/Special:FilePath/Cate%20Blanchett-0547%20%28cropped%29.jpg,international forum participant,female,1969-05-14T00:00:00Z,Australia
0,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,screenwriter,female,1981-06-09T00:00:00Z,United States of America
1,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,screenwriter,female,1981-06-09T00:00:00Z,Israel
2,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,actor,female,1981-06-09T00:00:00Z,United States of America
3,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,actor,female,1981-06-09T00:00:00Z,Israel
4,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,stage actor,female,1981-06-09T00:00:00Z,United States of America
5,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,stage actor,female,1981-06-09T00:00:00Z,Israel
6,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,film director,female,1981-06-09T00:00:00Z,United States of America
7,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,film director,female,1981-06-09T00:00:00Z,Israel
8,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,film producer,female,1981-06-09T00:00:00Z,United States of America
9,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,film producer,female,1981-06-09T00:00:00Z,Israel
10,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,model,female,1981-06-09T00:00:00Z,United States of America
11,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,model,female,1981-06-09T00:00:00Z,Israel
12,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,television actor,female,1981-06-09T00:00:00Z,United States of America
13,Natalie Portman,http://www.wikidata.org/entity/Q37876,http://commons.wikimedia.org/wiki/Special:FilePath/Natalie%20Portman%20AA%202011.jpg,television actor,female,1981-06-09T00:00:00Z,Israel
