,ellen_burstyn,julia_roberts,liam_hemsworth,meryl_streep,jack_lemmon,jennifer_lawrence,kate_mara,adele_exarchopoulos,marilyn_monroe,michael_caine,spencer_tracy,mel_gibson,amanda_plummer,johnny_depp,brad_pitt,demi_moore,jessica_chastain,jimmy_fallon,charlize_theron,george_c._scott,gene_hackman,benicio_del_toro,gene_kelly,samuel_l._jackson,tom_hanks,emmy_rossum,janet_leigh,steve_mcqueen,gary_cooper,orson_welles,maggie_gyllenhaal,tommy_lee_jones,jeff_bridges,naomi_watts,alyson_hannigan,rachel_weisz,ralph_fiennes,hailee_steinfeld,alan_arkin,kirk_douglas,jim_carrey,joaquin_phoenix,robert_redford,felicity_jones,kim_basinger,kirsten_dunst,natalie_portman,albert_finney,matt_damon,cameron_diaz,sharon_stone,charlton_heston,grace_kelly,julia_louis-dreyfus,jodie_foster,marion_cotillard,gregory_peck,humphrey_bogart,burt_lancaster,marlon_brando,margot_robbie,james_dean,liam_neeson,amy_adams,chloe_grace_moretz,william_holden,elizabeth_banks,woody_allen,leonardo_dicaprio,christopher_walken,daniel_day-lewis,jack_nicholson,sean_connery,peter_finch,ian_mckellen,jason_robards,angelina_jolie,emma_mackey,ben_kingsley,tom_cruise,mia_farrow,julianne_moore,cary_grant,sean_penn,blake_lively,keira_knightley,diane_kruger,frances_mcdormand,robert_mitchum,harrison_ford,colin_firth,denzel_washington,melanie_laurent,will_smith,henry_fonda,al_pacino,kevin_spacey,bette_davis,anthony_quinn,brie_larson,edward_norton,jamie_foxx,daisy_ridley,martin_sheen,scarlett_johansson,carrie_fisher,peter_o'toole,john_wayne,diane_keaton,julie_delpy,lauren_cohan,faye_dunaway,vera_farmiga,shelley_duvall,rooney_mara,anne_hathaway,robert_downey_jr.,kim_novak,christopher_plummer,lucy_liu,charles_laughton,saoirse_ronan,anna_kendrick,javier_bardem,rosamund_pike,morgan_freeman,robin_wright,virginia_cherrill,john_goodman,kaya_scodelario,uma_thurman,alec_guinness,nicole_kidman,milla_jovovich,christoph_waltz,russell_crowe,charles_chaplin,dustin_hoffman,cate_blanchett,hilary_swank,emma_watson,elliot_page,jennifer_jason_leigh,jennifer_aniston,lea_seydoux,emma_stone,sidney_poitier,james_stewart,marlene_dietrich,joe_pesci,anthony_hopkins,richard_burton,philip_seymour_hoffman,liv_ullmann,peter_sellers,paul_newman,chris_hemsworth,heath_ledger,matthew_mcconaughey,katherine_parkinson,maggie_smith,james_cagney,laurence_olivier,michelle_pfeiffer,elizabeth_olsen,buster_keaton,robert_de_niro,gloria_swanson,sally_hawkins,tilda_swinton,ingrid_bergman,vivien_leigh,don_cheadle,clint_eastwood,evangeline_lilly,jaime_king,gary_oldman,alicia_vikander,rachel_mcadams,viola_davis,bibi_andersson,talia_shire,jennifer_connelly,alan_rickman,samara_weaving,robin_williams,helena_bonham_carter,olga_kurylenko,katheryn_winnick,geoffrey_rush,audrey_tautou,kate_winslet,jon_voight,sigourney_weaver,michael_douglas,christian_bale,carey_mulligan,eva_green,emily_blunt,hugh_jackman,robert_duvall,clark_gable,octavia_spencer,joan_allen,bill_murray,jeremy_irons,edward_g._robinson
0,-5.8476367,7.192966,-46.503056,27.585815,-14.197795,28.443249,15.308876,21.56975,26.108665,-5.8476367,-40.362965,-11.079926,-8.277208,28.443249,-46.503056,23.698853,11.746453,-25.03597,40.92952,-17.027782,-11.229824,-24.055618,-32.584633,-0.06008259,-23.146187,21.064133,15.025901,-38.12592,-36.028496,-14.197795,21.064133,-11.079926,-27.768177,27.585815,20.451962,34.669415,-21.8252,33.209496,-18.76552,-30.73476,-23.017887,-42.034348,-9.866195,35.712307,18.340479,40.92952,35.712307,-14.197795,-47.549248,6.3698387,-2.4027066,-40.362965,29.77957,-2.4027066,6.3698387,34.669415,-36.355904,-35.074825,-31.278791,-39.82495,44.56226,-36.028496,-40.362965,41.347904,29.77957,-36.712547,6.481924,-12.828065,-47.497498,-17.471899,-20.010386,-7.8778143,-42.14039,-27.260656,-11.229824,-40.211895,30.737099,30.36093,-12.430413,-27.260656,16.88951,6.481924,-33.13226,-21.937479,20.497644,34.669415,37.100513,-17.471899,-33.508835,-40.362965,-23.326687,18.098549,28.582142,18.575277,-32.050415,-18.76552,-23.017887,11.746453,-25.649073,36.954906,-25.03597,-0.06008259,30.737099,-39.82495,44.56226,16.88951,-7.8778143,-12.828065,-7.1549754,11.86515,40.694115,-2.1877716,18.340479,18.841452,35.712307,14.14461,-43.852615,26.767708,-5.8476367,-2.4027066,-16.42958,37.727962,40.14473,-25.03597,45.157787,0.27926663,15.308876,17.498295,-12.828065,40.92952,-2.1877716,-33.13226,27.637901,29.77957,-19.77495,-23.017887,3.9534156,-18.76552,24.607462,8.90481,15.1997595,-42.14039,40.694115,45.346493,34.636566,30.36093,0.18402754,-32.050415,25.829344,-33.13226,-9.866195,-36.028496,-23.017887,7.192966,-33.13226,-31.278791,-46.592503,-12.145141,-43.852615,27.637901,-8.26389,-38.22446,-36.028496,6.481924,21.56975,-33.13226,-14.197795,29.537712,15.308876,-18.76552,13.539366,26.767708,0.18402754,-39.82495,8.90481,45.157787,-28.387884,24.607462,36.954906,2.1251159,15.308876,-29.809515,36.782005,-18.998184,45.157787,-14.197795,14.094431,21.56975,30.36093,-12.828065,31.433588,37.66967,-7.8778143,-3.2702339,-30.168154,-43.950195,29.77957,11.746453,6.481924,-46.503056,-9.912743,-35.519753,2.0314946,-8.277208,-23.146187,-20.010386,-14.82607
1,-3.7705843,8.548803,-47.497498,27.637901,-17.027782,18.340479,15.025901,20.585474,25.694407,-8.26389,-17.471899,-25.03597,-30.168154,28.582142,-44.55847,37.727962,39.174114,-26.299517,6.3698387,-23.146187,-9.912743,-26.299517,-32.050415,0.18402754,-23.017887,34.636566,13.070124,-39.4492,-28.387884,-14.366277,45.346493,-11.147629,-26.299517,28.691648,21.064133,35.712307,-40.211895,32.17127,-18.516037,-32.050415,-23.326687,-40.211895,-30.73476,35.66258,18.098549,23.222748,15.308876,-12.828065,-46.592503,41.601143,6.481924,-7.8778143,28.582142,11.224054,41.892147,20.497644,-36.712547,-16.108551,-9.866195,-40.211895,27.637901,-36.355904,-39.82495,37.66967,30.737099,-27.768177,40.694115,-9.866195,-46.503056,-17.027782,-19.77495,-23.017887,-35.074825,-11.147629,-11.079926,-39.82495,30.36093,28.691648,-11.079926,-24.971972,15.025901,-2.1877716,-32.049522,-28.978672,45.346493,34.636566,38.63571,-26.299517,-14.197795,-40.211895,-28.387884,18.575277,18.340479,18.098549,-38.12592,-40.362965,-23.326687,29.461454,-25.507942,37.66967,-44.55847,-0.24991609,29.77957,-40.211895,41.892147,-2.4027066,-21.8252,-17.027782,15.85578,11.224054,41.347904,6.481924,18.575277,21.56975,33.28761,27.416773,-18.998184,18.575277,-4.7916813,-17.23048,-40.362965,37.100513,15.308876,-26.053713,46.549717,-0.06008259,24.645931,26.767708,-33.13226,41.892147,-3.7705843,-17.22335,28.443249,28.691648,-20.143358,-24.901768,-35.074825,-18.411415,38.63571,44.56226,24.607462,-28.860556,9.309427,44.56226,35.712307,30.737099,-0.24991609,-36.712547,26.737087,-40.362965,-11.079926,-28.387884,-14.197795,11.746453,-32.050415,-28.387884,-45.268753,-27.768177,-27.260656,14.094431,-7.8778143,-39.4492,-35.074825,41.601143,20.497644,-28.860556,-32.584633,29.070404,8.548803,-30.168154,40.694115,27.416773,-0.24991609,-17.22335,8.257996,6.3698387,-27.260656,35.712307,39.174114,-0.24991609,13.539366,-8.277208,23.508514,-18.411415,32.17127,-12.430413,-3.2702339,21.816792,30.49453,-12.145141,30.737099,36.782005,-9.912743,-8.277208,-31.278791,-27.260656,28.582142,23.698853,21.816792,-43.950195,-30.168154,-42.034348,-0.06008259,6.3698387,-12.828065,-34.080925,-16.42958
2,-2.1877716,42.972565,-27.665766,28.691648,-33.13226,28.691648,24.607462,21.876064,26.767708,-9.866195,-40.211895,-11.229824,-9.866195,18.575277,-43.950195,36.954906,40.14473,-23.146187,41.892147,-16.108551,-39.82495,-32.584633,-28.387884,0.27926663,-24.26888,21.816792,14.14461,-17.471899,-36.712547,-17.027782,20.497644,-14.197795,-21.937479,30.49453,46.549717,21.56975,-40.362965,35.712307,-30.168154,-32.584633,-23.9405,-39.4492,-39.82495,19.078037,28.582142,41.601143,32.17127,-11.147629,-46.503056,6.481924,-3.2702339,-4.565008,30.36093,9.880837,-2.1877716,20.585474,-36.04862,-33.508835,-39.82495,-38.12592,31.433588,-35.519753,-39.4492,23.508514,28.443249,-36.355904,41.601143,-39.82495,-28.860556,-33.13226,-21.937479,-6.8422303,-34.080925,-33.13226,-26.299517,-33.508835,27.637901,28.582142,-11.229824,-20.010386,11.746453,8.90481,-31.278791,-40.362965,45.157787,36.954906,35.712307,-20.010386,-17.027782,-21.937479,-24.055618,18.340479,30.36093,26.108665,-31.278791,-23.146187,-12.828065,25.829344,-32.049522,35.712307,-23.326687,0.18402754,28.691648,-21.8252,37.66967,-8.26389,-9.866195,-14.366277,6.3698387,23.508514,41.601143,8.90481,17.498295,8.548803,24.645931,40.14473,-20.010386,17.978395,0.18402754,39.174114,-39.82495,23.508514,8.90481,-25.507942,37.727962,-11.079926,39.174114,29.461454,-14.366277,40.14473,6.481924,-39.82495,28.691648,30.737099,-20.793697,-14.197795,-35.519753,-30.168154,11.86515,45.157787,15.025901,-15.17188,11.86515,40.92952,20.451962,31.433588,-5.8476367,-40.362965,26.767708,-14.197795,-8.26389,-36.355904,-7.8778143,23.222748,-31.278791,-22.012295,-44.55847,-28.387884,-44.55847,39.174114,-29.809515,-32.050415,-36.355904,9.880837,33.209496,-31.278791,-12.145141,11.224054,40.92952,-30.73476,9.309427,25.694407,-4.565008,-38.12592,19.078037,44.56226,-23.146187,33.209496,41.892147,-0.06008259,15.1997595,-5.725354,33.209496,-18.516037,42.32999,-23.017887,13.539366,32.17127,31.433588,-11.079926,29.77957,42.32999,-8.277208,-5.725354,-9.866195,-19.883495,28.443249,15.308876,20.497644,-45.268753,-39.82495,-32.049522,-9.912743,-3.2702339,-25.03597,-20.143358,-16.108551
3,5.769936,-2.4027066,-47.549248,28.582142,-13.423986,29.77957,34.669415,23.508514,30.49453,-14.197795,-39.4492,-9.866195,-18.516037,30.36093,-43.852615,-2.1877716,9.880837,-23.326687,9.880837,-17.471899,-12.430413,-43.852615,-36.028496,-0.85969037,-12.828065,21.876064,41.601143,-28.978672,-36.04862,-38.12592,46.549717,-12.145141,-40.211895,30.737099,20.585474,15.308876,-22.012295,26.737087,-12.430413,-31.19737,-24.26888,-30.73476,-18.516037,15.308876,17.978395,41.892147,18.841452,-23.146187,-25.03597,11.86515,7.192966,-39.82495,29.070404,7.192966,-3.2702339,34.636566,-35.519753,-40.362965,-32.050415,-32.050415,41.601143,-36.712547,-21.8252,39.174114,28.582142,-28.860556,39.174114,-12.430413,-25.03597,-31.278791,-38.12592,-8.26389,-36.712547,-39.4492,-8.26389,-9.866195,29.77957,31.433588,-27.665766,-20.793697,-7.1549754,6.3698387,-38.12592,-27.260656,41.892147,33.209496,39.174114,-17.23048,-32.050415,-5.8476367,-25.03597,17.978395,27.585815,18.340479,-40.362965,-18.516037,-16.42958,-16.42958,-24.901768,38.63571,-18.76552,-12.145141,28.582142,-7.8778143,37.727962,-8.277208,-4.565008,-14.197795,6.481924,-29.809515,45.157787,-8.277208,28.582142,20.451962,21.064133,24.607462,-19.77495,18.340479,-11.079926,41.892147,-17.027782,23.222748,35.66258,-24.901768,6.3698387,-7.8778143,36.954906,-16.42958,-33.508835,13.070124,14.14461,-14.366277,26.767708,29.537712,-19.883495,-25.507942,-42.14039,-11.079926,41.892147,41.892147,35.712307,4.08006,41.892147,41.892147,36.954906,30.49453,-0.06008259,-32.946175,17.206284,-40.211895,-39.82495,-28.978672,-27.260656,25.694407,-32.049522,-39.4492,-47.549248,-21.937479,-45.268753,26.737087,5.769936,-17.471899,-28.860556,7.192966,34.636566,-32.050415,-32.050415,17.206284,11.86515,-2.1877716,-32.946175,13.539366,0.27926663,-40.211895,43.648884,41.892147,-27.665766,36.954906,11.86515,-8.277208,41.601143,-5.8476367,36.954906,-33.13226,40.92952,-13.423986,26.737087,34.669415,28.691648,-7.8778143,30.36093,45.346493,-11.079926,-7.1549754,-40.362965,-45.268753,30.737099,37.66967,7.192966,-23.326687,-40.362965,-34.080925,0.18402754,-29.809515,-24.055618,-20.793697,-14.366277
4,-8.277208,6.481924,-45.268753,30.49453,-33.508835,30.36093,11.86515,21.064133,17.206284,-6.705454,-11.079926,-23.326687,-9.912743,18.098549,-27.260656,35.66258,38.63571,-25.649073,32.17127,-39.82495,-12.828065,-47.549248,-38.12592,-6.705454,-24.055618,32.17127,-2.1877716,-39.82495,-13.766063,-25.03597,36.954906,-27.260656,-20.793697,26.767708,21.56975,42.32999,-27.260656,44.56226,-33.508835,-17.22335,-23.146187,-31.19737,-18.411415,9.309427,28.443249,40.694115,9.309427,-33.13226,-27.665766,41.892147,-17.23048,-21.8252,28.691648,11.746453,7.192966,21.56975,-28.860556,-32.584633,-42.14039,-40.362965,30.737099,-28.860556,-9.866195,40.14473,30.49453,-28.978672,38.63571,-6.8422303,-26.299517,-39.82495,-34.080925,-5.8476367,-38.22446,-32.584633,-12.430413,-21.8252,28.691648,30.737099,-12.828065,-20.143358,29.461454,11.86515,-39.4492,-18.516037,37.66967,35.66258,34.669415,-19.77495,-32.946175,-6.8422303,-11.079926,17.206284,28.691648,30.36093,-32.584633,-33.13226,-33.13226,10.494803,-13.766063,24.645931,-46.503056,0.27926663,30.36093,-6.705454,34.636566,-6.8422303,0.18402754,-39.82495,17.978395,-3.2702339,32.17127,-7.1549754,17.978395,30.890013,23.698853,-3.2702339,-27.260656,25.829344,-7.8778143,6.481924,-13.423986,6.481924,6.481924,-27.260656,40.92952,-5.8476367,15.1997595,18.098549,-7.8778143,41.347904,-30.73476,-13.423986,28.582142,30.36093,-17.728115,-23.146187,28.691648,-18.998184,36.954906,43.648884,34.636566,-14.366277,39.174114,46.549717,15.1997595,27.585815,-24.055618,-34.080925,22.954926,-7.8778143,-7.8778143,-32.049522,-8.26389,23.508514,-32.584633,-36.712547,-47.497498,-36.355904,-28.978672,26.767708,-9.912743,-34.080925,-36.712547,5.769936,19.586515,-33.508835,-30.168154,18.340479,8.90481,-17.728115,14.094431,14.14461,-0.85969037,-40.362965,6.3698387,42.972565,-28.978672,37.100513,37.100513,0.18402754,15.85578,-9.912743,37.66967,-30.168154,41.892147,-11.079926,15.308876,24.645931,29.77957,-14.197795,30.890013,-2.1877716,-11.147629,20.585474,-18.998184,-44.55847,27.585815,23.222748,20.451962,-25.03597,-7.8778143,-28.860556,-11.147629,-5.725354,-14.197795,-17.471899,3.9534156
5,-3.2702339,9.309427,-43.950195,28.443249,-23.146187,27.585815,42.32999,23.222748,11.224054,-9.912743,-9.866195,-22.012295,-12.828065,28.691648,-25.03597,9.309427,7.192966,-26.053713,41.347904,-14.197795,-24.901768,-34.080925,-23.146187,-20.793697,-24.901768,35.712307,26.737087,-24.901768,-27.665766,-33.508835,34.636566,-9.912743,-11.229824,28.443249,37.66967,37.727962,-27.665766,37.100513,-40.362965,-28.978672,-27.260656,-43.950195,-18.76552,23.508514,29.77957,15.308876,37.100513,-23.017887,-27.768177,7.192966,-5.725354,-5.8476367,18.340479,8.90481,9.880837,35.712307,-28.387884,-16.42958,-40.211895,-17.471899,40.92952,-35.074825,-33.508835,7.192966,28.691648,-36.028496,40.14473,-40.211895,-25.507942,-38.12592,-27.665766,-11.079926,-36.028496,-11.229824,-14.82607,-4.7916813,28.582142,28.443249,-13.766063,-30.168154,-29.809515,9.880837,-34.080925,-11.229824,6.481924,24.645931,24.645931,-27.665766,-32.584633,-39.4492,-26.299517,28.582142,29.77957,17.498295,-33.13226,-33.508835,-14.197795,13.070124,-22.012295,-2.1877716,-22.012295,-38.22446,27.585815,-20.793697,6.481924,-9.031087,-30.168154,-33.13226,-5.725354,29.461454,44.56226,10.494803,28.443249,11.224054,32.17127,9.309427,-9.866195,29.537712,-0.06008259,-2.1877716,-33.13226,42.32999,14.094431,-44.55847,6.481924,-0.24991609,14.094431,28.582142,-14.82607,44.56226,5.769936,-16.42958,31.433588,26.767708,-9.031087,-27.768177,26.767708,-9.866195,40.14473,40.92952,23.508514,33.209496,6.3698387,43.648884,23.508514,29.77957,-38.22446,-35.074825,30.49453,-32.050415,-11.229824,-42.034348,-40.211895,-6.8422303,-33.508835,-40.362965,-24.971972,-28.978672,-42.14039,32.17127,-3.7705843,-31.278791,-28.387884,41.892147,21.816792,-13.766063,-18.76552,30.36093,39.174114,-18.411415,11.224054,32.17127,-11.079926,-39.4492,18.841452,6.481924,-25.03597,15.308876,37.66967,-7.1549754,41.347904,10.494803,35.66258,-12.828065,37.727962,-23.146187,15.025901,27.416773,27.637901,-18.411415,30.49453,44.56226,-20.793697,-29.809515,-17.027782,-42.14039,27.637901,34.669415,37.727962,-24.971972,-40.211895,-32.584633,29.537712,11.86515,-23.326687,-12.430413,-28.860556
6,16.88951,-3.2702339,-43.852615,18.340479,-17.22335,31.433588,34.636566,31.605349,29.461454,-33.508835,-30.168154,-38.22446,5.769936,29.77957,-25.649073,42.32999,15.308876,-23.017887,13.539366,-40.211895,-7.8778143,-20.793697,-34.080925,2.0314946,-25.03597,20.497644,11.746453,-40.362965,-35.519753,-33.13226,7.192966,-7.8778143,-43.950195,29.77957,38.63571,15.1997595,-39.82495,34.636566,-14.197795,-38.12592,-31.278791,-40.362965,-7.8778143,24.645931,29.537712,46.549717,23.698853,-18.76552,-25.649073,8.90481,37.727962,-31.278791,30.49453,36.782005,-2.4027066,21.876064,-32.584633,-33.13226,-28.387884,-38.22446,35.66258,-28.978672,-17.471899,22.954926,18.340479,-32.050415,42.32999,-20.010386,-28.387884,-14.366277,-23.326687,-9.912743,-35.519753,-25.507942,-14.197795,-39.4492,31.433588,30.49453,-13.423986,-11.229824,14.14461,20.585474,-28.860556,-24.901768,41.347904,15.308876,24.607462,-17.22335,-18.76552,-28.978672,-27.768177,28.443249,27.637901,28.443249,-19.77495,-30.73476,-27.768177,7.192966,-4.565008,37.727962,-45.268753,-47.497498,27.637901,-8.26389,15.1997595,-3.7705843,-17.471899,-12.145141,17.498295,-9.031087,15.308876,7.192966,30.36093,29.070404,31.605349,38.63571,-20.793697,30.36093,-12.145141,37.727962,-15.965729,39.174114,42.32999,-23.326687,41.892147,-4.565008,-3.2702339,18.575277,-13.766063,41.601143,6.3698387,-17.471899,30.737099,30.49453,-12.430413,-23.326687,27.585815,-40.362965,27.416773,40.14473,35.66258,-44.55847,14.094431,6.481924,39.174114,27.637901,-21.8252,-13.423986,-16.42958,-14.366277,-40.362965,-34.080925,-12.430413,11.224054,-34.080925,-38.22446,-43.852615,-39.4492,-40.211895,27.585815,-2.4027066,-17.22335,-31.278791,40.14473,35.712307,-34.080925,-28.860556,11.746453,15.1997595,-17.471899,27.416773,26.108665,-17.027782,-17.027782,45.157787,45.346493,-11.079926,34.636566,20.497644,-2.4027066,24.607462,29.461454,23.222748,-17.23048,42.972565,-7.8778143,13.070124,34.636566,28.443249,-33.508835,27.637901,37.100513,-5.8476367,7.192966,-7.8778143,-23.9405,30.36093,24.607462,40.14473,-23.146187,-12.828065,-15.965729,-4.840425,23.222748,-20.793697,-40.362965,-13.423986
7,-8.26389,6.3698387,-25.03597,29.77957,-32.050415,27.637901,41.601143,20.497644,18.340479,-11.079926,-17.027782,-39.82495,-22.012295,27.585815,-24.971972,9.880837,15.1997595,-47.549248,7.192966,-9.866195,-11.147629,-39.4492,-13.766063,-7.8778143,-44.55847,33.209496,15.308876,-32.050415,-28.860556,-32.050415,34.669415,-24.901768,-9.866195,31.433588,34.669415,20.451962,-17.471899,24.645931,-18.998184,-40.211895,-25.03597,-43.852615,-5.8476367,37.100513,30.36093,15.025901,36.782005,-16.108551,-28.387884,-2.1877716,37.100513,-40.211895,18.575277,6.481924,20.585474,27.416773,-32.050415,-28.860556,-30.168154,-33.13226,21.56975,-39.4492,-21.937479,11.86515,31.433588,-27.665766,6.3698387,-30.168154,-14.231489,-40.211895,-20.793697,-12.828065,-39.4492,-38.12592,-9.912743,-7.8778143,28.443249,18.340479,-14.197795,-21.937479,24.607462,22.954926,-32.584633,-11.079926,17.978395,37.100513,36.782005,-18.411415,-17.22335,-39.82495,-12.828065,27.585815,30.737099,28.582142,-42.034348,-30.168154,-18.998184,-17.23048,-23.326687,15.308876,-13.766063,-11.079926,28.443249,-5.8476367,32.17127,-12.430413,-8.26389,-32.050415,11.746453,7.192966,42.32999,-5.8476367,29.537712,10.494803,27.637901,34.669415,-44.55847,30.49453,-21.8252,-5.725354,-32.049522,38.63571,13.070124,-45.268753,40.14473,-17.027782,40.14473,25.829344,-40.362965,45.157787,24.607462,-14.197795,18.340479,27.637901,-27.665766,-12.828065,-31.19737,-14.197795,37.66967,41.601143,9.309427,-14.231489,24.607462,6.3698387,24.607462,28.582142,-23.017887,-28.860556,-15.965729,-32.584633,-17.471899,-35.519753,-23.146187,15.025901,-28.860556,-40.211895,-25.649073,-38.12592,-24.055618,24.607462,-5.8476367,-28.860556,-28.978672,-3.2702339,15.1997595,-36.028496,-36.355904,31.605349,41.347904,-17.027782,26.737087,13.070124,-39.82495,-16.42958,42.972565,8.548803,-9.866195,34.669415,14.094431,-0.85969037,14.14461,-9.866195,35.712307,-13.766063,43.648884,-9.866195,24.607462,14.094431,27.585815,-20.793697,28.691648,34.636566,-12.828065,40.14473,-40.211895,-46.503056,31.433588,36.954906,34.669415,-18.998184,-30.73476,-32.050415,-4.220067,-9.912743,-17.027782,-7.8778143,-14.197795
8,-6.8422303,9.880837,-24.971972,30.737099,-14.231489,30.737099,23.508514,24.645931,11.746453,-40.362965,-9.912743,-12.828065,-5.8476367,26.767708,-27.768177,24.607462,5.769936,-14.231489,15.1997595,-33.508835,-12.145141,-23.326687,-33.13226,-5.8476367,-25.507942,20.451962,27.416773,-21.8252,-39.4492,-11.229824,-3.7705843,-39.82495,-22.012295,30.36093,6.481924,24.645931,-39.4492,36.954906,-13.766063,-34.080925,0.27926663,-26.299517,-40.211895,8.90481,26.108665,-20.010386,31.433588,-5.8476367,-26.299517,-2.4027066,36.782005,-28.978672,26.767708,-4.840425,37.66967,19.078037,-39.4492,-32.946175,-28.978672,-28.978672,35.712307,-34.080925,-6.8422303,41.601143,30.890013,-24.26888,45.157787,-24.901768,-23.326687,-39.4492,-43.950195,-24.901768,-38.12592,-33.508835,-24.901768,-14.197795,26.767708,27.637901,-39.82495,-13.766063,34.669415,11.746453,-33.508835,-13.766063,9.880837,18.841452,23.508514,-16.42958,-14.366277,-7.8778143,-23.017887,30.36093,31.433588,16.88951,-28.860556,-18.411415,-14.366277,17.206284,-38.22446,35.66258,-24.901768,-4.565008,30.49453,-17.22335,40.92952,11.746453,-40.362965,-16.108551,45.346493,-9.866195,41.892147,-4.220067,29.77957,-4.220067,21.56975,13.070124,-18.76552,31.605349,-14.197795,7.192966,-14.82607,36.954906,20.585474,-47.549248,42.32999,-11.147629,23.508514,29.537712,-13.423986,42.32999,-42.14039,-23.146187,30.36093,28.582142,-17.471899,-33.13226,-42.034348,-22.012295,34.669415,41.347904,8.257996,-42.034348,15.308876,42.32999,37.66967,28.443249,-4.7916813,-16.108551,5.769936,-31.278791,-11.147629,-32.050415,-19.77495,-5.725354,-17.027782,-27.768177,-25.03597,-17.471899,-35.519753,-17.728115,-7.1549754,-39.82495,-36.04862,16.88951,20.585474,-32.946175,-33.13226,30.49453,24.607462,-17.22335,15.308876,30.737099,-40.362965,-5.8476367,20.585474,37.727962,-23.017887,23.508514,-3.2702339,-11.147629,11.746453,-3.7705843,37.100513,-9.866195,37.66967,-18.76552,8.90481,35.712307,28.582142,-11.147629,27.585815,20.585474,-39.82495,-2.1877716,-39.82495,-24.055618,30.49453,21.816792,-3.2702339,-43.852615,-5.8476367,-28.978672,18.575277,25.694407,-33.13226,-17.22335,-14.231489
9,-21.8252,-2.1877716,-36.028496,30.36093,-16.42958,26.767708,40.14473,37.66967,30.737099,-12.430413,-6.8422303,-11.147629,11.746453,30.737099,-19.883495,20.585474,23.508514,-24.26888,15.308876,-14.366277,-18.516037,-23.017887,-36.355904,-4.565008,-26.299517,34.669415,32.17127,-36.712547,-28.978672,-12.145141,21.56975,-26.299517,-23.017887,28.582142,21.816792,21.064133,-24.901768,21.876064,-9.866195,-33.508835,-43.950195,-9.866195,-40.362965,33.209496,17.498295,45.157787,39.174114,-8.26389,-36.355904,10.494803,13.539366,-34.080925,28.443249,-9.866195,8.90481,44.56226,-31.278791,-32.050415,-24.26888,-26.299517,33.28761,-32.584633,-31.278791,23.698853,27.637901,-31.278791,9.880837,-30.73476,-25.649073,-8.26389,-23.146187,-20.793697,-40.362965,-14.197795,-7.8778143,-21.937479,27.585815,29.537712,-17.027782,-24.901768,25.829344,41.601143,-14.197795,-18.76552,34.669415,32.17127,37.66967,-24.055618,-40.362965,-4.7916813,-14.197795,26.108665,30.49453,29.77957,-39.4492,-22.012295,-28.860556,-17.027782,-25.03597,41.892147,-25.649073,-27.665766,30.890013,-9.866195,34.669415,-29.809515,-11.079926,-32.049522,18.098549,-16.42958,40.14473,9.880837,30.737099,21.816792,3.9534156,39.174114,-23.146187,30.737099,-13.766063,-4.565008,-33.508835,34.669415,36.782005,-24.055618,19.586515,-14.197795,34.669415,11.746453,-11.229824,9.309427,8.90481,-33.508835,30.49453,31.433588,-26.299517,-14.231489,31.605349,-12.828065,23.222748,40.694115,40.92952,-35.074825,40.92952,42.972565,15.308876,28.691648,-17.471899,-28.387884,11.224054,-12.430413,-5.8476367,-38.22446,-6.8422303,-36.712547,-36.712547,-21.8252,-27.665766,-25.03597,-20.143358,23.508514,-5.725354,-32.584633,-32.584633,43.648884,37.66967,-26.299517,-12.828065,27.637901,34.669415,39.174114,11.746453,15.025901,-12.430413,-17.728115,7.192966,8.90481,-26.299517,21.876064,24.645931,-4.565008,26.737087,-2.4027066,-2.1877716,-12.430413,40.694115,-40.211895,9.309427,20.451962,30.890013,-17.027782,26.108665,35.712307,-6.8422303,6.481924,-18.516037,-40.211895,18.340479,11.86515,-3.7705843,-25.649073,-11.079926,-33.13226,44.56226,-7.1549754,-6.705454,-18.76552,-35.074825
